Node,Distance_to_Midpoint
Node1,0.0
Node11,0.03025288345
Node10,0.03025288345
Node12,0.24851021915
Node187,0.55986903015
Node194,0.60465085695
Node9,0.19589735414999998
Node13,0.8087507709499999
Node32,0.41105594884999996
Node188,0.6945270380499999
Node190,0.64658312535
Node195,0.69163101285
Node222,0.67182978095
Node228,0.27473379345
Node8,0.63189296525
Node14,1.08760413905
Node19,0.9121516627499999
Node33,0.56321793575
Node135,1.14681260275
Node189,0.74654079395
Node191,0.71749545365
Node196,0.74819589685
Node219,0.73691744185
Node223,0.73673404625
Node225,0.81881432865
Node229,0.62172336015
Node423,1.23652746525
Node660,1.20534391815
Node7,1.09876075455
Node15,1.13770118465
Node17,1.2447892329499999
Node20,0.98517784785
Node22,0.98055966115
Node34,0.8049977403499999
Node116,1.05608454955
Node136,1.23473705905
Node192,0.85152478925
Node197,0.78739076115
Node220,0.77540081315
Node224,0.82042537825
Node226,0.8672615044499999
Node230,0.67618445835
Node320,0.6904291874499999
Node424,1.41092100585
Node624,1.50385258925
Node661,1.26187469775
Node674,1.25988493495
Node681,1.41220756735
Node5,1.36981692095
Node16,1.34667555735
Node18,1.36647283795
Node21,1.0792428702499999
Node23,1.13867325075
Node29,1.0577592575499999
Node35,0.9841466639500001
Node111,0.8790279507500001
Node117,1.1455869246500001
Node137,1.2845776033499998
Node193,0.9171745824499999
Node198,0.83140046495
Node221,0.88014080845
Node227,0.97440447735
Node231,0.75112090925
Node279,0.7400774804499999
Node321,0.7635730012499999
Node417,1.22920643535
Node425,1.44537180415
Node522,1.46948554665
Node625,1.60813509995
Node654,1.63784299785
Node662,1.33658827985
Node666,1.38068873855
Node675,1.32282660605
Node680,1.39946203905
Node682,1.53181814775
Node6,1.50810029365
Node4,1.4428737469500001
Node24,1.19405799985
Node28,1.22787797595
Node30,1.12548646945
Node31,1.18441737225
Node36,1.00436105615
Node82,1.0572013100500002
Node112,0.9514877471500001
Node115,0.9464705465500001
Node118,1.2484994519500001
Node130,1.20460826655
Node138,1.3390637025499998
Node185,1.3396562365499998
Node199,0.95087875135
Node208,0.92983539075
Node232,1.12601300935
Node247,0.9772574010499999
Node280,0.8472125693499999
Node317,1.16731782925
Node322,0.94230524275
Node410,1.08090485795
Node418,1.29161396085
Node422,1.32316799485
Node426,1.47946215295
Node469,1.46581573625
Node523,1.57916074255
Node548,1.5870483740499999
Node626,1.71094052965
Node642,1.7071432958500001
Node655,1.73811365405
Node663,1.41393493885
Node665,1.43096113075
Node667,1.43799562715
Node676,1.37327916945
Node683,1.59067238305
Node703,1.56817011075
Node3,1.50085084315
Node25,1.2672903839499998
Node37,1.02843636575
Node73,1.05997765385
Node83,1.0925093324500001
Node97,1.0767525610500002
Node113,1.02487696055
Node114,1.0435427539500002
Node119,1.2934247669499999
Node129,1.3211430453499997
Node131,1.2533664003499998
Node133,1.2820827439499998
Node139,1.4668604352499999
Node186,1.64217276965
Node200,0.99320223795
Node209,0.9819484425499999
Node214,1.00000154035
Node233,1.41964612875
Node234,1.51920872745
Node248,1.56693348885
Node250,1.25616398595
Node281,1.29139576445
Node305,1.05194745835
Node318,1.28807209215
Node319,1.4329063773500001
Node323,1.01705355935
Node363,1.21021750145
Node411,1.18858219585
Node415,1.26995376645
Node419,1.34904296315
Node427,1.57050886325
Node446,1.55069544675
Node470,1.4926593406500002
Node519,1.49878559795
Node524,1.61213080235
Node539,1.6342941260500001
Node549,1.63903809405
Node620,1.6511723357499999
Node627,1.80548594965
Node641,1.8128442176500001
Node643,1.74161337645
Node656,1.8091431367500002
Node657,1.79258264715
Node664,1.59685470175
Node668,1.5147128381500001
Node677,1.41683749605
Node679,1.44403365165
Node684,1.63781938465
Node689,1.61991515455
Node704,1.61052596665
Node716,1.61711321965
Node2,1.5600301544500002
Node26,1.3351848842499998
Node27,1.42657712125
Node38,1.13921601695
Node70,1.04199494615
Node74,1.1614260199500002
Node79,1.0944864227500002
Node84,1.1672199116500002
Node93,1.13279370145
Node98,1.10962142975
Node102,1.11676961935
Node120,1.33497147775
Node132,1.29367405535
Node134,1.3842905643499999
Node140,1.52935224775
Node201,1.04256536825
Node204,1.02968407405
Node210,1.07882073665
Node215,1.04685688365
Node235,1.58517743245
Node246,1.7532120496499999
Node249,1.6820497004500001
Node251,1.38727608895
Node282,1.36585410845
Node304,1.46920934985
Node306,1.11292895125
Node324,1.16432681385
Node326,1.1663110324500001
Node364,1.26617036225
Node406,1.26881261695
Node412,1.29287939275
Node416,1.43146366645
Node420,1.42560137735
Node428,1.7611889838500001
Node429,1.65750586375
Node447,1.59903857475
Node468,1.69990618125
Node471,1.5184717623500001
Node509,1.53893846855
Node520,1.67922357205
Node521,1.7343392230499999
Node525,1.65092731545
Node538,1.83694355845
Node540,1.77545414615
Node545,1.71770640665
Node550,1.68168982885
Node621,1.72125378765
Node623,1.73467432535
Node628,1.85235824995
Node631,1.8351718993500001
Node644,1.79649361685
Node652,1.80927612535
Node658,1.84523969095
Node669,1.55421742385
Node678,1.52128418655
Node685,1.67293697745
Node690,1.65496376845
Node705,1.64856367965
Node715,1.75749533415
Node717,1.85274429635
Node39,1.7048188535499997
Node66,1.19669647605
Node71,1.09295457725
Node72,1.18953351615
Node75,1.24615733335
Node80,1.1692711287500002
Node81,1.1546946015500001
Node85,1.20361977865
Node87,1.20642091185
Node94,1.19761026855
Node96,1.20226737085
Node99,1.16536180105
Node100,1.16127729965
Node103,1.20221000655
Node107,1.14126862685
Node121,1.3762608371499998
Node127,1.3731428957499998
